Year,Month,Day,HeatIndex
2014,1,31,20
2014,2,1,23
2014,2,2,22
2014,2,3,23
2014,2,4,24
2014,2,5,22
2014,2,6,23
2014,2,7,25
2014,2,8,24
2014,2,9,24
2014,2,10,24
2014,2,11,22
2014,2,12,22
2014,2,13,21
2014,2,14,21
2014,2,15,22
2014,2,16,21
2014,2,17,20
2014,2,18,22
2014,2,19,22
2014,2,20,20
2014,2,21,22
2014,2,22,19
2014,2,23,19
2014,2,24,23
2014,2,25,21
2014,2,26,21
2014,2,27,24
2014,2,28,23
2014,3,1,22
2014,3,2,22
2014,3,3,23
2014,3,4,22
2014,3,5,21
2014,3,6,22
2014,3,7,22
2014,3,8,22
2014,3,9,22
2014,3,10,24
2014,3,11,23
2014,3,12,25
2014,3,13,25
2014,3,14,25
2014,3,15,24
2014,3,16,25
2014,3,17,26
2014,3,18,25
2014,3,19,25
2014,3,20,26
2014,3,21,24
2014,3,22,24
2014,3,23,25
2014,3,24,25
2014,3,25,21
2014,3,26,24
2014,3,27,25
2014,3,28,27
2014,3,29,25
2014,3,30,28
2014,3,31,26
2014,4,1,26
2014,4,2,27
2014,4,3,25
2014,4,4,24
2014,4,5,24
2014,4,6,24
2014,4,7,23
2014,4,8,23
2014,4,9,24
2014,4,10,25
2014,4,11,25
2014,4,12,21
2014,4,13,23
2014,4,14,24
2014,4,15,23
2014,4,16,21
2014,4,17,22
2014,4,18,25
2014,4,19,25
2014,4,20,25
2014,4,21,25
2014,4,22,26
2014,4,23,25
2014,4,24,26
2014,4,25,24
2014,4,26,24
2014,4,27,27
2014,4,28,25
2014,4,29,24
2014,4,30,25
2014,5,1,23
2014,5,2,24
2014,5,3,25
2014,5,4,25
2014,5,5,25
2014,5,6,27
2014,5,7,28
2014,5,8,29
2014,5,9,24
2014,5,10,25
2014,5,11,25
2014,5,12,26
2014,5,13,25
2014,5,14,26
2014,5,15,24
2014,5,16,26
2014,5,17,28
2014,5,18,24
2014,5,19,25
2014,5,20,25
2014,5,21,25
2014,5,22,25
2014,5,23,27
2014,5,24,27
2014,5,25,26
2014,5,26,25
2014,5,27,24
2014,5,28,25
2014,5,29,25
2014,5,30,25
2014,5,31,27
2014,6,1,25
2014,6,2,25
2014,6,3,25
2014,6,4,25
2014,6,5,28
2014,6,6,24
2014,6,7,-999
2014,6,8,25
2014,6,9,21
2014,6,10,19
2014,6,11,21
2014,6,12,20
2014,6,13,20
2014,6,14,22
2014,6,15,24
2014,6,16,24
2014,6,17,28
2014,6,18,28
2014,6,19,24
2014,6,20,23
2014,6,21,21
2014,6,22,23
2014,6,23,23
2014,6,24,26
2014,6,25,25
2014,6,26,24
2014,6,27,24
2014,6,28,23
2014,6,29,25
2014,6,30,24
2014,7,1,24
2014,7,2,24
2014,7,3,24
2014,7,4,21
2014,7,5,25
2014,7,6,25
2014,7,7,20
2014,7,8,21
2014,7,9,22
2014,7,10,24
2014,7,11,25
2014,7,12,26
2014,7,13,25
2014,7,14,28
2014,7,15,24
2014,7,16,20
2014,7,17,20
2014,7,18,20
2014,7,19,22
2014,7,20,23
2014,7,21,24
2014,7,22,22
2014,7,23,19
2014,7,24,20
2014,7,25,23
2014,7,26,24
2014,7,27,21
2014,7,28,22
2014,7,29,24
2014,7,30,22
2014,7,31,22
2014,8,1,20
2014,8,2,21
2014,8,3,21
2014,8,4,21
2014,8,5,19
2014,8,6,18
2014,8,7,19
2014,8,8,22
2014,8,9,22
2014,8,10,23
2014,8,11,22
2014,8,12,24
2014,8,13,24
2014,8,14,28
2014,8,15,25
2014,8,16,23
2014,8,17,21
2014,8,18,20
2014,8,19,26
2014,8,20,25
2014,8,21,23
2014,8,22,23
2014,8,23,25
2014,8,24,22
2014,8,25,22
2014,8,26,20
2014,8,27,24
2014,8,28,25
2014,8,29,23
2014,8,30,23
2014,8,31,25
2014,9,1,25
2014,9,2,24
2014,9,3,24
2014,9,4,24
2014,9,5,26
2014,9,6,23
2014,9,7,25
2014,9,8,24
2014,9,9,23
2014,9,10,22
2014,9,11,24
2014,9,12,27
2014,9,13,22
2014,9,14,21
2014,9,15,19
2014,9,16,22
2014,9,17,25
2014,9,18,25
2014,9,19,21
2014,9,20,17
2014,9,21,20
2014,9,22,22
2014,9,23,25
2014,9,24,22
2014,9,25,24
2014,9,26,23
2014,9,27,25
2014,9,28,26
2014,9,29,25
2014,9,30,24
2014,10,1,22
2014,10,2,23
2014,10,3,24
2014,10,4,25
2014,10,5,25
2014,10,6,23
2014,10,7,23
2014,10,8,24
2014,10,9,25
2014,10,10,25
2014,10,11,23
2014,10,12,21
2014,10,13,24
2014,10,14,22
2014,10,15,24
2014,10,16,24
2014,10,17,23
2014,10,18,19
2014,10,19,25
2014,10,20,25
2014,10,21,24
