Year,Month,Day,HeatIndex
2014,1,31,32
2014,2,1,36
2014,2,2,36
2014,2,3,31
2014,2,4,34
2014,2,5,33
2014,2,6,35
2014,2,7,34
2014,2,8,32
2014,2,9,33
2014,2,10,32
2014,2,11,29
2014,2,12,30
2014,2,13,30
2014,2,14,30
2014,2,15,31
2014,2,16,32
2014,2,17,31
2014,2,18,32
2014,2,19,31
2014,2,20,28
2014,2,21,27
2014,2,22,32
2014,2,23,32
2014,2,24,32
2014,2,25,31
2014,2,26,32
2014,2,27,34
2014,2,28,34
2014,3,1,35
2014,3,2,32
2014,3,3,35
2014,3,4,32
2014,3,5,33
2014,3,6,35
2014,3,7,35
2014,3,8,33
2014,3,9,32
2014,3,10,36
2014,3,11,38
2014,3,12,35
2014,3,13,34
2014,3,14,38
2014,3,15,37
2014,3,16,34
2014,3,17,34
2014,3,18,35
2014,3,19,34
2014,3,20,34
2014,3,21,36
2014,3,22,35
2014,3,23,38
2014,3,24,39
2014,3,25,36
2014,3,26,37
2014,3,27,38
2014,3,28,39
2014,3,29,39
2014,3,30,41
2014,3,31,38
2014,4,1,37
2014,4,2,37
2014,4,3,37
2014,4,4,39
2014,4,5,37
2014,4,6,38
2014,4,7,37
2014,4,8,37
2014,4,9,36
2014,4,10,37
2014,4,11,39
2014,4,12,38
2014,4,13,37
2014,4,14,37
2014,4,15,40
2014,4,16,36
2014,4,17,37
2014,4,18,36
2014,4,19,38
2014,4,20,37
2014,4,21,39
2014,4,22,40
2014,4,23,40
2014,4,24,40
2014,4,25,41
2014,4,26,41
2014,4,27,40
2014,4,28,38
2014,4,29,38
2014,4,30,38
2014,5,1,38
2014,5,2,39
2014,5,3,40
2014,5,4,41
2014,5,5,40
2014,5,6,41
2014,5,7,41
2014,5,8,39
2014,5,9,42
2014,5,10,38
2014,5,11,40
2014,5,12,41
2014,5,13,41
2014,5,14,43
2014,5,15,42
2014,5,16,41
2014,5,17,44
2014,5,18,42
2014,5,19,42
2014,5,20,41
2014,5,21,40
2014,5,22,41
2014,5,23,42
2014,5,24,41
2014,5,25,41
2014,5,26,42
2014,5,27,40
2014,5,28,41
2014,5,29,40
2014,5,30,42
2014,5,31,42
2014,6,1,43
2014,6,2,42
2014,6,3,43
2014,6,4,43
2014,6,5,43
2014,6,6,41
2014,6,7,41
2014,6,8,37
2014,6,9,28
2014,6,10,31
2014,6,11,37
2014,6,12,34
2014,6,13,33
2014,6,14,37
2014,6,15,39
2014,6,16,39
2014,6,17,41
2014,6,18,40
2014,6,19,39
2014,6,20,40
2014,6,21,39
2014,6,22,39
2014,6,23,39
2014,6,24,39
2014,6,25,40
2014,6,26,40
2014,6,27,38
2014,6,28,39
2014,6,29,40
2014,6,30,41
2014,7,1,40
2014,7,2,40
2014,7,3,41
2014,7,4,36
2014,7,5,39
2014,7,6,40
2014,7,7,39
2014,7,8,40
2014,7,9,39
2014,7,10,39
2014,7,11,41
2014,7,12,42
2014,7,13,41
2014,7,14,44
2014,7,15,45
2014,7,16,39
2014,7,17,39
2014,7,18,39
2014,7,19,41
2014,7,20,40
2014,7,21,40
2014,7,22,33
2014,7,23,31
2014,7,24,35
2014,7,25,37
2014,7,26,38
2014,7,27,38
2014,7,28,39
2014,7,29,38
2014,7,30,38
2014,7,31,37
2014,8,1,31
2014,8,2,36
2014,8,3,38
2014,8,4,38
2014,8,5,37
2014,8,6,33
2014,8,7,36
2014,8,8,34
2014,8,9,38
2014,8,10,37
2014,8,11,37
2014,8,12,35
2014,8,13,38
2014,8,14,37
2014,8,15,38
2014,8,16,32
2014,8,17,34
2014,8,18,36
2014,8,19,36
2014,8,20,39
2014,8,21,41
2014,8,22,42
2014,8,23,40
2014,8,24,37
2014,8,25,40
2014,8,26,38
2014,8,27,39
2014,8,28,42
2014,8,29,40
2014,8,30,41
2014,8,31,39
2014,9,1,40
2014,9,2,40
2014,9,3,42
2014,9,4,43
2014,9,5,43
2014,9,6,41
2014,9,7,40
2014,9,8,40
2014,9,9,38
2014,9,10,39
2014,9,11,38
2014,9,12,40
2014,9,13,40
2014,9,14,38
2014,9,15,37
2014,9,16,39
2014,9,17,41
2014,9,18,39
2014,9,19,34
2014,9,20,26
2014,9,21,27
2014,9,22,36
2014,9,23,38
2014,9,24,39
2014,9,25,39
2014,9,26,40
2014,9,27,39
2014,9,28,40
2014,9,29,38
2014,9,30,40
2014,10,1,40
2014,10,2,37
2014,10,3,39
2014,10,4,37
2014,10,5,37
2014,10,6,33
2014,10,7,34
2014,10,8,34
2014,10,9,33
2014,10,10,37
2014,10,11,37
2014,10,12,35
2014,10,13,34
2014,10,14,36
2014,10,15,35
2014,10,16,35
2014,10,17,38
2014,10,18,36
2014,10,19,40
2014,10,20,41
2014,10,21,39
2014,10,22,40
2014,10,23,38
2014,10,24,38
2014,10,25,39
2014,10,26,38
2014,10,27,38
2014,10,28,36
2014,10,29,39
2014,10,30,38
2014,10,31,38
2014,11,1,43
2014,11,2,39
2014,11,3,37
2014,11,4,35
2014,11,5,34
2014,11,6,32
2014,11,7,32
2014,11,8,35
2014,11,9,35
2014,11,10,36
2014,11,11,34
2014,11,12,34
