Year,Month,Day,HeatIndex
2014,1,31,21
2014,2,1,25
2014,2,2,27
2014,2,3,30
2014,2,4,27
2014,2,5,28
2014,2,6,26
2014,2,7,28
2014,2,8,30
2014,2,9,27
2014,2,10,28
2014,2,11,23
2014,2,12,22
2014,2,13,24
2014,2,14,25
2014,2,15,24
2014,2,16,22
2014,2,17,24
2014,2,18,25
2014,2,19,25
2014,2,20,28
2014,2,21,23
2014,2,22,22
2014,2,23,22
2014,2,24,22
2014,2,25,24
2014,2,26,23
2014,2,27,25
2014,2,28,25
2014,3,1,29
2014,3,2,26
2014,3,3,27
2014,3,4,28
2014,3,5,27
2014,3,6,25
2014,3,7,21
2014,3,8,24
2014,3,9,28
2014,3,10,23
2014,3,11,22
2014,3,12,25
2014,3,13,28
2014,3,14,28
2014,3,15,24
2014,3,16,25
2014,3,17,25
2014,3,18,26
2014,3,19,26
2014,3,20,28
2014,3,21,24
2014,3,22,23
2014,3,23,24
2014,3,24,22
2014,3,25,24
2014,3,26,27
2014,3,27,24
2014,3,28,29
2014,3,29,28
2014,3,30,28
2014,3,31,27
2014,4,1,31
2014,4,2,30
2014,4,3,29
2014,4,4,30
2014,4,5,28
2014,4,6,27
2014,4,7,29
2014,4,8,27
2014,4,9,30
2014,4,10,29
2014,4,11,27
2014,4,12,29
2014,4,13,30
2014,4,14,31
2014,4,15,27
2014,4,16,26
2014,4,17,30
2014,4,18,32
2014,4,19,33
2014,4,20,28
2014,4,21,31
2014,4,22,32
2014,4,23,35
2014,4,24,31
2014,4,25,34
2014,4,26,33
2014,4,27,33
2014,4,28,30
2014,4,29,33
2014,4,30,32
2014,5,1,31
2014,5,2,32
2014,5,3,33
2014,5,4,31
2014,5,5,31
2014,5,6,32
2014,5,7,32
2014,5,8,35
2014,5,9,33
2014,5,10,35
2014,5,11,35
2014,5,12,32
2014,5,13,32
2014,5,14,34
2014,5,15,35
2014,5,16,34
2014,5,17,34
2014,5,18,35
2014,5,19,36
2014,5,20,34
2014,5,21,37
2014,5,22,37
2014,5,23,33
2014,5,24,30
2014,5,25,34
2014,5,26,35
2014,5,27,32
2014,5,28,32
2014,5,29,34
2014,5,30,34
