Heat+E2710:E2738Index,Month,Day,HeatIndex,Year
2014.0,1,31,25.0,
2014.0,2,1,35.0,
2014.0,2,2,37.0,
2014.0,2,3,39.0,
2014.0,2,4,40.0,
2014.0,2,5,34.0,
2014.0,2,6,36.0,
2014.0,2,7,34.0,
2014.0,2,8,31.0,
2014.0,2,9,33.0,
2014.0,2,10,35.0,
2014.0,2,11,31.0,
2014.0,2,12,33.0,
2014.0,2,13,28.0,
2014.0,2,14,31.0,
2014.0,2,15,33.0,
2014.0,2,16,28.0,
2014.0,2,17,31.0,
2014.0,2,18,31.0,
2014.0,2,19,33.0,
2014.0,2,20,33.0,
2014.0,2,21,33.0,
2014.0,2,22,33.0,
2014.0,2,23,33.0,
2014.0,2,24,32.0,
2014.0,2,25,34.0,
2014.0,2,26,34.0,
2014.0,2,27,33.0,
2014.0,2,28,33.0,
2014.0,3,1,33.0,
2014.0,3,2,38.0,
2014.0,3,3,36.0,
2014.0,3,4,34.0,
2014.0,3,5,33.0,
2014.0,3,6,33.0,
2014.0,3,7,33.0,
2014.0,3,8,33.0,
2014.0,3,9,36.0,
2014.0,3,10,31.0,
2014.0,3,11,27.0,
2014.0,3,12,36.0,
2014.0,3,13,35.0,
2014.0,3,14,35.0,
2014.0,3,15,35.0,
2014.0,3,16,37.0,
2014.0,3,17,34.0,
2014.0,3,18,31.0,
2014.0,3,19,31.0,
2014.0,3,20,34.0,
2014.0,3,21,29.0,
2014.0,3,22,34.0,
2014.0,3,23,35.0,
2014.0,3,24,33.0,
2014.0,3,25,36.0,
2014.0,3,26,36.0,
2014.0,3,27,36.0,
2014.0,3,28,37.0,
2014.0,3,29,37.0,
2014.0,3,30,37.0,
2014.0,3,31,36.0,
2014.0,4,1,35.0,
2014.0,4,2,35.0,
2014.0,4,3,36.0,
2014.0,4,4,37.0,
2014.0,4,5,38.0,
2014.0,4,6,40.0,
2014.0,4,7,35.0,
2014.0,4,8,36.0,
2014.0,4,9,30.0,
2014.0,4,10,36.0,
2014.0,4,11,34.0,
2014.0,4,12,37.0,
2014.0,4,13,43.0,
